id,symbol,name,hashing_algo,market_cap,rank,interest_score,p_change_30d,p_change_60d,p_change_200d,p_change_1y,market_cap_usd,total_supply,circulating_supply,twt_followers,rdt_followers
bitcoin,btc,Bitcoin,SHA-256,1,1,0.341,2.55918,-4.54446,5.45362,-7.67285,838330286805,21000000.0,18959850.0,4677076,3910860
ethereum,eth,Ethereum,Ethash,2,2,0.701,-6.2694,-19.06147,27.7565,77.15676,376195522806,,119601855.9365,2225564,1230328
solana,sol,Solana,,8,3,0.689,-29.85691,-40.96878,221.74477,1072.91475,33130382028,508180963.57,319246350.742769,1471408,129658
binancecoin,bnb,BNB,,4,4,20.192,-13.35436,-17.9436,33.85697,233.92461,72637725427,168137035.9,168137035.9,7674506,800938
ripple,xrp,XRP,,6,5,0.115,6.979,4.02971,10.53769,52.18764,39913999555,100000000000.0,47888392531.0,2424974,346506
dogecoin,doge,Dogecoin,Scrypt,12,6,0.062,-15.61622,-11.63912,-27.31124,163.40015,19882516907,,132670764299.894,3055756,2270209
polkadot,dot,Polkadot,,11,7,0.162,-28.31481,-19.70914,25.91381,-28.18148,21564550716,1165691803.19544,1084742670.25643,1165928,38961
cardano,ada,Cardano,,7,8,0.2,-21.47483,-9.46403,-15.2693,28.67206,35477681273,45000000000.0,32066390668.4135,825225,691917
chainlink,link,Chainlink,,22,9,0.155,-32.5808,-5.9248,-22.77561,-46.98899,8058274055,1000000000.0,467009549.5205637,759754,76300
stellar,xlm,Stellar,,30,10,0.075,-15.24254,-14.02107,-21.2748,-55.2365,5478196502,50001802191.4346,24914481047.0593,739252,211390
avalanche-2,AVAX,Avalanche,,9,11,0.56,3.5107,-14.41252,637.91784,151.63006,23441616709,377752194.4695483,245292831.562621,590774,34807
litecoin,ltc,Litecoin,Scrypt,20,12,0.013,-11.16652,-9.6093,-10.70484,-37.21684,9071298430,84000000.0,69650258.2334713,209100,356909
tron,trx,TRON,Delegated Proof-of-Stake,24,13,0.103,-4.30667,-16.26565,5.82717,32.3647,6804209019,101900409184.273,101778961112.754,738,122587
monero,xmr,Monero,RandomX,47,14,0.068,-19.19207,-0.2553,-25.12896,-20.11522,3283116935,,18079624.3024307,468138,252567
algorand,algo,Algorand,,25,15,0.035,-30.74432,-26.66097,16.35724,-26.41801,6553101093,7056289790.94135,6616134602.32468,240545,64638
harmony,one,Harmony,,61,16,0.37,-44.63774,-3.69954,153.89172,537.25242,2272141665,13156044839.793139,11708094657.1007,349420,51848
tezos,xtz,Tezos,Proof of Stake,44,17,0.059,-3.76,-0.95315,39.63364,-8.34919,3627053178,,876998208.983464,339464,68650
eos,eos,EOS,Delegated Proof-of-Stake,58,18,0.032,-13.85009,-20.87476,-38.40845,-46.54496,2467260094,,984482447.0954,263460,97101
zcash,zec,Zcash,Equihash,80,19,0.017,-12.20387,-17.23135,12.13296,-21.34778,1505810135,21000000.0,12128040.7912968,85080,21832
crypto-com-chain,cro,Crypto.com Coin,Ethash,16,20,2.065,5.73066,-6.00259,284.70901,471.56364,12415183241,30263013692.0,25263013692.0,1793673,156289
vechain,vet,VeChain,,41,21,0.056,-22.37454,-24.69918,-28.71585,20.23303,4075203790,86712634466.0,66760741299.0,559539,221751
cosmos,atom,Cosmos,,21,22,0.089,-33.65724,35.49293,136.37468,29.09071,8326305666,,288361963.60879,369308,60392
loopring,lrc,Loopring,,92,23,0.044,-28.12567,-52.4948,294.54458,36.4065,1219194266,1373873440.44246,1245991468.94246,183583,96798
elrond-erd-2,egld,Elrond,,40,24,0.193,-1.22541,-24.63097,119.88732,37.94161,4224051398,23210110.0,21880110.0,465995,14963
the-graph,grt,The Graph,,49,25,0.092,-16.24471,-16.49576,-17.37397,-76.79989,3035998002,10000000000.0,6157231561.0,208806,21522
fantom,ftm,Fantom,,32,26,0.162,-36.29393,48.88055,730.3977,1104.22328,5327240295,3175000000.0,2541152731.01,377290,33023
neo,neo,NEO,,73,27,0.038,-2.06296,-3.15301,-41.06909,-40.25491,1742077474,100000000.0,70530000.0,434745,116153
decentraland,mana,Decentraland,,35,28,0.902,6.74304,8.08067,367.21716,1021.65269,5041202379,2193841727.32015,1510035836.1483421,529812,83800
basic-attention-token,bat,Basic Attention Token,,89,29,0.09,-19.69799,-26.90984,38.73286,58.31599,1270682014,1500000000.0,1495585511.4473505,254992,87696
zilliqa,zil,Zilliqa,Ethash,123,30,0.069,-20.90757,-14.27895,-36.3309,-60.93412,715578649,21000000000.0,13944776072.1612,393142,40659
waves,waves,Waves,Proof of Stake,98,31,0.017,-25.45516,-39.94284,-34.35555,-1.49995,1070179782,100000000.0,100000000.0,210248,60139
nano,xno,Nano,Directed Acyclic Graph (DAG),212,32,0.037,-26.22244,-28.00755,-47.45209,-63.83227,306991133,133248290.0,133248290.0,150794,120557
internet-computer,icp,Internet Computer,,38,33,0.053,-30.92902,-7.55658,-48.63434,0.0,4461540963,469213710.0,206655408.106459,487931,26442
dash,dash,Dash,X11,95,34,0.032,-21.5769,-15.95621,-34.80815,-57.84651,1144088591,18920000.0,10581037.1192866,424933,44169
mina-protocol,mina,Mina Protocol,,104,35,0.031,-22.21656,-14.55056,82.48384,0.0,1031170404,893582812.840039,378946153.840039,178302,12251
maker,mkr,Maker,,65,36,0.084,-5.90624,-10.5819,-27.1762,-13.98603,1912485427,977631.036950888,901310.9472893132,197411,32895
near,near,Near,,23,37,0.0,-42.9808,35.89625,391.55162,188.63095,7271597511,1000000000.0,636695244.564138,314027,0
havven,snx,Synthetix Network Token,,99,38,0.044,-6.18748,0.7813,-47.36069,-79.37005,1066185458,242519074.690449,211209308.24646512,188114,8752
status,SNT,Status,,262,39,0.015,-5.10855,-17.82717,-27.81056,-38.29206,233420984,6804870174.0,3880483788.3096976,147219,6318
bancor,bnt,Bancor Network Token,,128,40,0.062,-15.18984,-15.40674,-22.07116,-19.98845,702475149,258665440.904356,258665440.904356,145626,8784
gas,gas,Gas,,488,41,0.038,1.47788,-7.55718,-33.4142,36.66251,77705461,100000000.0,13935116.23912223,434745,116153
qtum,qtum,Qtum,Proof of Stake,117,42,0.013,-5.98883,-17.46699,5.07473,19.057,788738496,107822406.0,104045348.0,272629,17684
storj,storj,Storj,,325,43,0.051,-26.89856,-34.00344,19.8966,48.6023,175473877,424999998.0,143787438.7,114297,14910
nervos-network,ckb,Nervos Network,,169,44,0.031,-30.67604,-21.85115,40.97993,42.31575,442124507,,29790306742.68,87703,16996
lisk,lsk,Lisk,Delegated Proof-of-Stake,232,45,0.008,-9.66035,-24.35027,-37.05142,-42.96413,270960421,,144818773.0,204608,33703
dusk-network,dusk,DUSK Network,Proof of Stake,317,46,0.016,-54.91433,-4.28384,318.96831,166.31904,181268186,500000000.0,389489793.726325,43148,14348
matic-network,matic,Polygon,,15,47,0.729,-21.69688,-14.48026,72.69899,1612.04023,12532877090,10000000000.0,6872890164.27,1275092,0
klay-token,klay,Klaytn,,46,48,0.003,-5.80142,5.13647,27.39076,104.60518,3493346910,,2633099542.2,94210,1226
acala,aca,Acala,,426,49,0.155,0.0,0.0,0.0,0.0,108236918,1000000000.0,69304481.0,245852,13275
moonriver,movr,Moonriver,,214,50,0.167,-35.21373,-47.68624,0.0,0.0,306417945,10264315.0,3154198.0,101671,8485
ontology,ont,Ontology,,157,51,0.017,-9.21178,-12.86311,-27.47103,-48.58828,516935358,1000000000.0,875249524.0,189233,21122
theta-token,theta,Theta Network,,42,52,0.079,-5.54434,-1.9596,-33.63548,17.53419,3977423592,1000000000.0,1000000000.0,248943,27816
ark,ark,Ark,Delegated Proof-of-Stake,337,53,0.018,-11.60281,-20.59042,-8.27002,32.58564,168861516,,163260148.0,77405,24352
ravencoin,rvn,Ravencoin,x16r,121,54,0.034,-28.48089,-15.46675,5.67657,-7.84651,722189480,21000000000.0,10473290000.0,86664,62747
0x,zrx,0x,,142,55,0.032,-12.16004,-12.51679,-12.97702,-57.84026,572874171,1000000000.0,847496054.8122635,254761,20948
enjincoin,enj,Enjin Coin,,67,56,0.158,-20.61962,-13.73016,38.52218,284.17922,1864100548,1000000000.0,934340659.567558,504548,45081
usd-coin,usdc,USD Coin,,5,57,0.086,0.1247,0.1215,-0.4688,0.16338,52598796317,52558616367.6878,52558619663.4502,0,0
holotoken,hot,Holo,,109,58,0.013,-18.11168,-29.96169,-17.52437,305.14277,929085847,177619433541.141,177619433541.141,113451,26430
