id,symbol,name,hashing_algo,market_cap,rank,interest_score,p_change_30d,p_change_60d,p_change_200d,p_change_1y,market_cap_usd,total_supply,circulating_supply,twt_followers,rdt_followers
bitcoin,btc,Bitcoin,SHA-256,1,1,0.341,2.51977,-4.58115,5.41309,-7.70834,839265356719,21000000.0,18959900.0,4677076,3911324
ethereum,eth,Ethereum,Ethash,2,2,0.701,-6.25679,-19.05058,27.77369,77.1806,377060274860,,119602149.3115,2225564,1230328
tether,usdt,Tether,,3,146,0.071,0.05774,0.24979,-0.12995,0.07017,78725451792,78641051388.7895,78641051388.7895,207281,0
binancecoin,bnb,BNB,,4,4,20.192,-13.25981,-17.85405,34.00305,234.28903,72869407075,168137035.9,168137035.9,7674506,801012
usd-coin,usdc,USD Coin,,5,57,0.086,-0.0099,-0.0131,-0.6026,0.02873,52574341888,52558628347.6258,52558624015.1547,0,0
ripple,xrp,XRP,,6,5,0.115,6.8126,3.8679,10.36575,51.95091,39994506432,100000000000.0,47888392531.0,2424974,346506
cardano,ada,Cardano,,7,8,0.2,-21.77488,-9.80997,-15.59306,28.1804,35424506748,45000000000.0,32066390668.4135,825225,691934
solana,sol,Solana,,8,3,0.689,-30.06923,-41.14747,220.77086,1069.36435,33126752703,508180963.57,319246337.118033,1471408,129658
avalanche-2,AVAX,Avalanche,,9,11,0.56,3.62504,-14.31798,638.73295,151.90801,23513140117,377752194.4695483,245292844.28074,590774,34807
terra-luna,luna,Terra,,10,121,0.526,-33.34984,-12.16712,434.10779,967.40045,23032764548,810737483.494507,396859789.962843,333946,30110
polkadot,dot,Polkadot,,11,7,0.162,-28.37874,-19.78074,25.80152,-28.24553,21586398554,1165691802.77504,1084742669.92924,1165928,38961
dogecoin,doge,Dogecoin,Scrypt,12,6,0.062,-15.50157,-11.51906,-27.21248,163.75805,19941050531,,132670764299.894,3055756,2270209
binance-usd,busd,Binance USD,,13,220,0.059,0.15457,0.18505,-0.75439,0.12775,17851223575,17819806607.15,17819806607.15,29152,0
shiba-inu,shib,Shiba Inu,,14,105,0.154,1.40333,-0.74864,394.25566,402171.27586,17077098096,1000000000000000.0,549147273293176.1,2835429,466470
matic-network,matic,Polygon,,15,47,0.729,-21.77848,-14.56938,72.51902,1610.25615,12546602723,10000000000.0,6872890164.27,1275092,0
crypto-com-chain,cro,Crypto.com Coin,Ethash,16,20,2.065,5.28638,-6.39757,283.09245,469.16191,12401057439,30263013692.0,25263013692.0,1793673,156289
terrausd,ust,TerraUSD,SHA-256,17,327,0.526,0.09922,0.194,-0.49283,1.23738,11690858379,11672497263.3645,11672125722.3214,331374,0
wrapped-bitcoin,wbtc,Wrapped Bitcoin,,18,399,0.008,2.30343,-4.65249,5.8472,-7.57922,11601085919,262312.6918523,262312.6918523,0,0
dai,dai,Dai,,19,169,0.084,0.01412,-9e-05,-0.39367,-0.17861,9984332159,9972624405.7867,9972624405.7867,197445,32896
litecoin,ltc,Litecoin,Scrypt,20,12,0.013,-11.21587,-9.65952,-10.75445,-37.25172,9075063387,84000000.0,69650433.2334713,209100,356909
cosmos,atom,Cosmos,,21,22,0.089,-34.0788,34.63197,134.87268,28.27043,8292246202,,288363941.844183,369308,60392
chainlink,link,Chainlink,,22,9,0.155,-32.53527,-5.86128,-22.72346,-46.95319,8070686472,1000000000.0,467009549.5205637,759754,76300
near,near,Near,,23,37,0.0,-43.18249,35.41557,389.81295,187.61003,7271491454,1000000000.0,636695244.564138,314027,0
tron,trx,TRON,Delegated Proof-of-Stake,24,13,0.103,-4.47356,-16.41168,5.64261,32.13386,6809685447,101900409184.273,101778849067.15,738,122589
algorand,algo,Algorand,,25,15,0.035,-30.73337,-26.64938,16.37564,-26.40637,6567741349,7056289689.16908,6616134522.82382,240545,64638
ftx-token,ftt,FTX Token,,26,358,2.019,0.88399,24.70191,33.86514,132.72974,6477039965,333795358.185972,137926022.11874422,583779,0
bitcoin-cash,bch,Bitcoin Cash,SHA-256,27,141,0.009,-12.80235,-20.54436,-38.65615,-51.955,6446428571,21000000.0,18984549.8966522,0,810169
staked-ether,steth,Lido Staked Ether,,28,312,0.049,-6.23133,-18.55655,28.73942,75.56189,5908099282,1877266.51640606,1877216.69444581,60563,1769
okb,okb,OKB,,29,460,0.617,-21.46777,-31.14256,15.23134,157.89853,5669296391,300000000.0,262680011.32,0,0
stellar,xlm,Stellar,,30,10,0.075,-15.58123,-14.36464,-21.58938,-55.41537,5469234185,50001802191.4346,24914481043.2708,739252,211390
leo-token,leo,LEO Token,,31,376,2.842,51.70822,59.46396,92.20095,289.17067,5386082099,985239504.0,937161603.9,857014,9713
fantom,ftm,Fantom,,32,26,0.162,-36.68605,47.96417,725.28649,1096.81112,5300297896,3175000000.0,2541152731.01,377290,33023
uniswap,uni,Uniswap,,33,170,0.762,-36.65686,-24.73637,-46.25746,-43.53211,5161574085,1000000000.0,456489583.4010546,844160,60970
decentraland,mana,Decentraland,,34,28,0.902,6.63417,7.97044,366.74066,1020.50875,5050653818,2193841727.32015,1510035561.6192043,529812,83822
hedera-hashgraph,hbar,Hedera,Directed Acyclic Graph (DAG),35,208,0.071,-7.42219,2.27673,19.85802,79.28278,5033446616,50000000000.0,19389577881.0,213102,22396
the-sandbox,sand,The Sandbox,,36,276,0.746,-12.26446,-13.77718,555.06972,1704.3598,4670427937,3000000000.0,1081466216.2233226,835314,0
axie-infinity,axs,Axie Infinity,,37,282,4.85,-19.65564,-31.66018,49.83565,3082.33051,4617906843,270000000.0,71048878.51539591,912559,0
internet-computer,icp,Internet Computer,,38,33,0.053,-31.14605,-7.84705,-48.79574,0.0,4457873123,469213710.0,206655408.106459,487931,26442
ethereum-classic,etc,Ethereum Classic,Ethash,39,165,0.011,0.70675,-5.67881,-36.17615,123.38217,4356426778,210700000.0,133003977.255496,625349,63304
elrond-erd-2,egld,Elrond,,40,24,0.193,-1.19739,-24.60959,119.94971,37.98075,4223714261,23210110.0,21880110.0,465995,14963
vechain,vet,VeChain,,41,21,0.056,-22.66044,-24.97652,-28.9784,19.79021,4065679770,86712634466.0,66760741299.0,559539,221753
theta-token,theta,Theta Network,,42,52,0.079,-5.87119,-2.29886,-33.86512,17.12747,3975028598,1000000000.0,1000000000.0,248943,27818
ecomi,omi,ECOMI,,43,674,0.023,-13.07998,-5.50211,170.57869,872.12995,3787526079,750000000000.0,581910045187.41,171159,0
filecoin,fil,Filecoin,,44,347,0.077,-26.59136,-37.41277,-56.42,-47.80255,3634244307,1970819999.0,162288372.0,138568,0
tezos,xtz,Tezos,Proof of Stake,45,17,0.059,-4.006,-1.20632,39.27672,-8.58346,3621417659,,876998208.983464,339464,68656
klay-token,klay,Klaytn,,46,48,0.003,-4.97626,6.05744,28.50668,106.39748,3530145677,,2633105366.4,94210,1226
monero,xmr,Monero,RandomX,47,14,0.068,-18.99695,-0.01446,-24.94817,-19.92233,3292869460,,18079638.3066814,468138,252567
compound-ether,ceth,cETH,,48,64,0.078,-6.28294,-19.12816,28.41113,77.33924,3247495606,51361164.0847144,51362936.6642669,219104,8895
the-graph,grt,The Graph,,49,25,0.092,-17.19327,-17.44149,-18.30975,-77.06264,3010684171,10000000000.0,6157231561.0,208806,21522
cdai,cdai,cDAI,,50,259,0.078,0.20961,0.42314,0.90395,3.2223,2959570169,135317828398.81,135364721154.683,219079,8895
magic-internet-money,mim,Magic Internet Money,,51,402,0.0,-0.13967,-0.45893,0.54389,0.0,2791676233,2785296692.97944,2785296692.97944,121050,0
helium,hnt,Helium,,52,204,1.146,-19.40976,-19.93078,89.77338,587.76689,2726134780,223000000.0,100539361.984279,151290,88352
osmosis,osmo,Osmosis,,53,80,0.263,-16.42699,120.75126,408.9318,0.0,2673264401,325000000.0,298080808.0,76051,0
frax,frax,Frax,,54,584,0.042,-0.82099,-0.27846,-0.78071,1.05043,2654313697,2653242158.00651,2653242158.00651,34480,0
compound-usd-coin,cusdc,cUSDC,,55,428,0.078,0.19669,0.39087,1.30063,3.81542,2637410118,117274148063.998,117195141141.147,219079,0
gala,gala,Gala,,56,291,0.721,3.96063,-24.58148,1479.28799,2404.98219,2579207428,36895318131.9246,7542496572.319239,318222,0
iota,miota,IOTA,Directed Acyclic Graph (DAG),57,213,0.089,-19.70824,-18.41913,10.38091,-27.76872,2531435009,2779530283.0,2779530283.277761,258538,145731
eos,eos,EOS,Delegated Proof-of-Stake,58,18,0.032,-14.04605,-21.05474,-38.54854,-46.66655,2471122175,,984485679.3574,263460,97101
flow,flow,Flow,,59,377,0.017,-2.53353,-12.60707,-68.36827,-60.73819,2459669983,1404345732.91653,329356498.0,143946,0
aave,aave,Aave,,60,77,0.148,-29.12747,-6.27789,-46.54166,-62.13667,2330215657,16000000.0,13514625.858775062,429266,15316
harmony,one,Harmony,,61,16,0.37,-44.60648,-3.64515,154.0351,537.61231,2277444328,13156044839.793139,11708128145.1007,349420,51848
pancakeswap-token,cake,PancakeSwap,,62,405,2.742,-31.21103,-33.37339,-45.33518,25.37336,2228642279,,268318126.300515,1478637,0
bittorrent-old,bttold,BitTorrent [OLD],Delegated Proof-of-Stake,63,506,0.304,-38.07262,-37.97808,-42.59881,48.97134,2106847046,990000000000.0,0.0,619465,36847
